,Date,mean_hel,mean_rov,mean_tam,Consumption,mean_temp,workday,month,day,year,trend,l1,l2,log_consumption,l1_log,l2_log
785,2025-10-17,3.9166666666666665,0.9500000000000001,4.604166666666667,227292.735,3.1569444444444446,True,10,4,2025,785,237923.445,223068.1382608696,12.333994047165293,12.37970424124618,12.31523255650985
786,2025-10-18,2.3958333333333335,-0.5499999999999999,3.8874999999999997,236839.21000000002,1.9111111111111112,False,10,5,2025,786,227292.735,237923.445,12.375136751054944,12.333994047165293,12.37970424124618
787,2025-10-19,3.5833333333333335,4.883333333333334,4.954166666666667,234765.57749999996,4.473611111111111,False,10,6,2025,787,236839.21000000002,227292.735,12.366342752696402,12.375136751054944,12.333994047165293
788,2025-10-20,5.645833333333333,-0.12500000000000003,5.129166666666666,234847.1275,3.5499999999999994,True,10,0,2025,788,234765.57749999996,236839.21000000002,12.366690060168928,12.366342752696402,12.375136751054944
789,2025-10-21,8.200000000000001,0.3875,6.566666666666666,241192.96000000002,5.051388888888889,True,10,1,2025,789,234847.1275,234765.57749999996,12.393352556012855,12.366690060168928,12.366342752696402
790,2025-10-22,6.958333333333333,3.9583333333333335,5.370833333333334,247699.065,5.429166666666667,True,10,2,2025,790,241192.96000000002,234847.1275,12.419969840742834,12.393352556012855,12.366690060168928
791,2025-10-23,7.354166666666667,4.9750000000000005,6.520833333333333,238048.9475,6.283333333333334,True,10,3,2025,791,247699.065,241192.96000000002,12.380231593272836,12.419969840742834,12.393352556012855
792,2025-10-24,8.458333333333334,5.408333333333334,7.054166666666667,226535.8875,6.973611111111111,True,10,4,2025,792,238048.9475,247699.065,12.330658655062956,12.380231593272836,12.419969840742834
793,2025-10-25,10.308333333333334,3.441666666666667,8.091666666666667,227664.805,7.280555555555556,False,10,5,2025,793,226535.8875,238048.9475,12.335629672691795,12.330658655062956,12.380231593272836
794,2025-10-26,10.058064516129033,2.206451612903226,9.674193548387096,220378.98580645164,7.312903225806451,False,10,6,2025,794,227664.805,226535.8875,12.30310400600945,12.335629672691795,12.330658655062956
795,2025-10-27,7.829166666666667,5.708333333333333,7.229166666666667,233613.45,6.922222222222222,True,10,0,2025,795,220378.98580645164,227664.805,12.36142310533351,12.30310400600945,12.335629672691795
796,2025-10-28,6.533333333333334,5.6499999999999995,6.020833333333333,229803.28000000003,6.0680555555555555,True,10,1,2025,796,233613.45,220378.98580645164,12.344978917576045,12.36142310533351,12.30310400600945
797,2025-10-29,7.0874999999999995,4.179166666666666,4.441666666666666,225935.97999999998,5.236111111111111,True,10,2,2025,797,229803.28000000003,233613.45,12.328006963788386,12.344978917576045,12.36142310533351
798,2025-10-30,6.729166666666667,3.8499999999999996,5.629166666666666,238126.6275,5.402777777777778,True,10,3,2025,798,225935.97999999998,229803.28000000003,12.380557859485416,12.328006963788386,12.344978917576045
799,2025-10-31,7.529166666666666,2.9291666666666667,6.254166666666666,232092.71499999997,5.570833333333333,True,10,4,2025,799,238126.6275,225935.97999999998,12.35489220443689,12.380557859485416,12.328006963788386
800,2025-11-01,6.229166666666667,2.2333333333333334,4.883333333333334,223045.185,4.448611111111112,False,11,5,2025,800,232092.71499999997,238126.6275,12.31512965323531,12.35489220443689,12.380557859485416
801,2025-11-02,8.179166666666667,1.7583333333333335,6.4624999999999995,230432.4475,5.466666666666666,False,11,6,2025,801,223045.185,232092.71499999997,12.34771302905129,12.31512965323531,12.35489220443689
802,2025-11-03,9.5375,4.3,7.983333333333333,234178.01750000002,7.273611111111111,True,11,0,2025,802,230432.4475,223045.185,12.363836863656744,12.34771302905129,12.31512965323531
803,2025-11-04,8.054166666666667,5.220833333333333,7.645833333333333,243009.2,6.973611111111111,True,11,1,2025,803,234178.01750000002,230432.4475,12.400854581688316,12.363836863656744,12.34771302905129
804,2025-11-05,11.204166666666666,6.145833333333333,11.170833333333334,235294.1225,9.506944444444445,True,11,2,2025,804,243009.2,234178.01750000002,12.368591595652948,12.400854581688316,12.363836863656744
805,2025-11-06,10.883333333333333,3.4625,9.183333333333334,236540.2175,7.843055555555556,True,11,3,2025,805,235294.1225,243009.2,12.3738735253109,12.368591595652948,12.400854581688316
